fact_code,line_code,smv,running_days,total_target,day_output,total_present,available_mins,output_mins,output_target,absent_rate,alter_rate,spot_rate,reject_rate,dow,date
1001,100105,,44,1550,1500,57,34200,,0.9677419,0,0.0402299,,0.0019157,4,25/7/2013
1001,100105,,45,1500,1500,57,34200,,1,0,0.0433121,,0.0012739,6,27/7/2013
1001,100105,,46,1600,1500,57,34200,,0.9375,0,0.0390775,,0,0,28/7/2013
1001,100105,,47,1500,1500,56,33600,,1,0.0175439,0.041507,,0.0006386,1,29/7/2013
1001,100105,,25,2000,1800,55,39600,,0.9,0.0178571,0.0363831,,0.000535,3,3/7/2013
1001,100105,,48,1600,1500,57,34200,,0.9375,0,0.0402556,,0.001278,2,30/7/2013
1001,100105,,49,1600,1500,57,34200,,0.9375,0,0.0415335,,0,3,31/7/2013
1001,100105,,26,2000,1800,55,39600,,0.9,0.0178571,0.0430393,,0.0005313,4,4/7/2013
1001,100105,,27,2100,2320,53,38160,,1.104762,0.0535714,0.0304929,,0.0004177,6,6/7/2013
1001,100105,,28,1700,1450,56,40320,,0.8529412,0,0.0409782,,0.0006609,0,7/7/2013
1001,100105,,29,1550,1800,54,38880,,1.16129,0.0357143,0.034298,,0.0010718,1,8/7/2013
1001,100105,,30,1450,1450,53,38160,,1,0.0535714,0.0485246,,0.0006557,2,9/7/2013
1001,100105,,1,1550,1500,56,33600,,0.9677419,0.0175439,0.0390525,,0.0006402,4,1/8/2013
1001,100105,,,,,0,,,,0.6065574,,,,6,10/8/2013
1001,100105,,7,1000,850,51,30600,,0.85,0.1052632,0.0447427,,0.0044743,6,17/8/2013
1001,100105,,8,1500,1500,53,31800,,1,0.0535714,0.0390525,,0.0006402,0,18/8/2013
1001,100105,,9,700,1130,54,32400,,1.598765,0.0357143,0.0439932,,0,1,19/8/2013
1001,100105,,1,1000,750,54,32400,,0.75,0.0357143,0.070632,,0,2,20/8/2013
1001,100105,,2,1850,1650,56,40320,,0.8918919,0,0.0417391,,0.0017391,3,21/8/2013
1001,100105,,3,2000,1800,56,40320,,0.9,0,0.0348339,,0.0005359,4,22/8/2013
1001,100105,,4,1850,1600,56,33600,,0.8648649,0.0175439,0.0436081,,0.0005974,6,24/8/2013
1001,100105,,5,2000,1900,56,40320,,0.95,0.0175439,0.0320937,,0,0,25/8/2013
1001,100105,,6,1500,1700,55,33000,,1.133333,0.0350877,0.0373092,,0.0016959,1,26/8/2013
1001,100105,,7,1700,1700,55,33000,,1,0.0178571,0.0421822,,0.0016873,2,27/8/2013
1001,100105,,8,2000,2000,51,36720,,1,0.0555556,0.0370549,,0.0004812,3,28/8/2013
1001,100105,,9,2000,2000,52,37440,,1,0.037037,0.0287805,,0,4,29/8/2013
1001,100105,,2,2000,2400,54,32400,,1.2,0.0181818,0.0271475,,0.0004052,6,3/8/2013
1001,100105,,1,1400,990,54,35640,,0.7071428,0.0526316,0.0340798,,0.0019474,6,31/8/2013
1001,100105,,3,1500,1500,55,33000,,1,0,0.0396419,,0.0012788,0,4/8/2013
1001,100105,,4,1550,1500,53,31800,,0.9677419,0.0185185,0.0390275,,0.0012796,1,5/8/2013
1001,100105,,5,1500,1500,56,33600,,1,0,0.0256087,,0.0004198,2,6/8/2013
1001,100105,,6,600,500,57,17100,,0.8333333,0,0.0666667,,0.0074074,3,7/8/2013
1001,100105,,1,1300,1150,50,36000,,0.8846154,0.1666667,0.0456432,,0.0041494,0,1/9/2013
1001,100105,,6,700,800,47,22560,,1.142857,0.1896552,0.0396158,,0.0012005,2,10/9/2013
1001,100105,,7,950,1000,46,22080,,1.052632,0.1929825,0.0338164,,0.0009662,3,11/9/2013
